Months,Values
1949 JAN,6
1949 FEB,5.8
1949 MAR,6.9
1949 APR,8.5
1949 MAY,9.8
1949 JUN,9.8
1949 JUL,9.2
1949 AUG,8.8
1949 SEP,9.2
1949 OCT,10.3
1949 NOV,11.7
1949 DEC,13.3
1950 JAN,14.5
1950 FEB,15
1950 MAR,14.6
1950 APR,13.9
1950 MAY,13.9
1950 JUN,15
1950 JUL,16.4
1950 AUG,17.1
1950 SEP,16.4
1950 OCT,14.8
1950 NOV,13
1950 DEC,11.7
1951 JAN,10.9
1951 FEB,10.2
1951 MAR,9.7
1951 APR,8.9
1951 MAY,7.7
1951 JUN,5.9
1951 JUL,4
1951 AUG,2.2
1951 SEP,1
1951 OCT,0.3
1951 NOV,-0.1
1951 DEC,-0.2
1952 JAN,-0.1
1952 FEB,0
1952 MAR,0
1952 APR,0
1952 MAY,0
1952 JUN,0
1952 JUL,0.1
1952 AUG,0
1952 SEP,-0.1
1952 OCT,-0.3
1952 NOV,-0.2
1952 DEC,0.5
1953 JAN,1.4
1953 FEB,2.4
1953 MAR,3.2
1953 APR,4
1953 MAY,4.6
1953 JUN,5.3
1953 JUL,6.1
1953 AUG,6.9
1953 SEP,7.9
1953 OCT,8.8
1953 NOV,9.4
1953 DEC,9.6
1954 JAN,9.5
1954 FEB,9.1
1954 MAR,8.7
1954 APR,8.4
1954 MAY,8.7
1954 JUN,9.5
1954 JUL,10.5
1954 AUG,11.1
1954 SEP,11
1954 OCT,10.5
1954 NOV,10.4
1954 DEC,11
1955 JAN,11.9
1955 FEB,12.7
1955 MAR,13
1955 APR,12.8
1955 MAY,12.3
1955 JUN,11.7
1955 JUL,10.9
1955 AUG,9.9
1955 SEP,8.7
1955 OCT,7.3
1955 NOV,5.8
1955 DEC,4.2
1956 JAN,2.8
1956 FEB,1.7
1956 MAR,1
1956 APR,0.5
1956 MAY,0
1956 JUN,-0.5
1956 JUL,-1.2
1956 AUG,-1.8
1956 SEP,-2.4
1956 OCT,-2.5
1956 NOV,-2.1
1956 DEC,-0.8
1957 JAN,0.7
1957 FEB,2
1957 MAR,2.7
1957 APR,3.4
1957 MAY,5.1
1957 JUN,7.9
1957 JUL,10.7
1957 AUG,11.8
1957 SEP,10.3
1957 OCT,7.3
1957 NOV,4.9
1957 DEC,4.5
1958 JAN,5.7
1958 FEB,7.3
1958 MAR,8.4
1958 APR,8.1
1958 MAY,5.8
1958 JUN,1.7
1958 JUL,-1.7
1958 AUG,-1.6
1958 SEP,3.4
1958 OCT,11
1958 NOV,16.1
1958 DEC,15.1
1959 JAN,10.2
1959 FEB,5.7
1959 MAR,4.3
1959 APR,5.1
1959 MAY,6.7
1959 JUN,7.9
1959 JUL,8.7
1959 AUG,9.7
1959 SEP,11.1
1959 OCT,12.6
1959 NOV,14
1959 DEC,15
1960 JAN,15.3
1960 FEB,14.5
1960 MAR,12.3
1960 APR,9.6
1960 MAY,7.4
1960 JUN,6.1
1960 JUL,5.4
1960 AUG,4.7
1960 SEP,3.4
1960 OCT,1.9
1960 NOV,0
1960 DEC,-1.8
1961 JAN,-2.9
1961 FEB,-2.2
1961 MAR,1
